title,city,date,stage,team_a,team_b,demand_a,demand_b,demand_score,tracked_teams
Brazil vs Morocco,New York/New Jersey,2026-06-13,Group Stage,Brazil,Morocco,67.0,100.0,167.0,2
Scotland vs Morocco,Boston,2026-06-19,Group Stage,Scotland,Morocco,15.0,98.0,113.0,1
Scotland vs Brazil,Miami,2026-06-24,Group Stage,Scotland,Brazil,15.0,91.0,106.0,1
USA vs Australia,Seattle,2026-06-19,Group Stage,USA,Australia,88.0,15.0,103.0,1
USA vs Paraguay,Los Angeles,2026-06-13,Group Stage,USA,Paraguay,73.0,15.0,88.0,1
Morocco vs Haiti,Atlanta,2026-06-24,Group Stage,Morocco,Haiti,64.0,15.0,79.0,1
Ecuador vs Germany,New York/New Jersey,2026-06-25,Group Stage,Ecuador,Germany,58.0,15.0,73.0,1
Brazil vs Haiti,Philadelphia,2026-06-20,Group Stage,Brazil,Haiti,52.0,15.0,67.0,1
Côte d'Ivoire vs Ecuador,Philadelphia,2026-06-14,Group Stage,Côte d'Ivoire,Ecuador,15.0,28.0,43.0,1
Argentina vs Algeria,Kansas City,2026-06-17,Group Stage,Argentina,Algeria,25.0,15.0,40.0,1
Ecuador vs Curaçao,Kansas City,2026-06-21,Group Stage,Ecuador,Curaçao,21.0,15.0,36.0,1
Jordan vs Argentina,Dallas,2026-06-28,Group Stage,Jordan,Argentina,15.0,16.0,31.0,1
Argentina vs Austria,Dallas,2026-06-22,Group Stage,Argentina,Austria,16.0,15.0,31.0,1
Norway vs France,Boston,2026-06-26,Group Stage,Norway,France,15.0,15.0,30.0,0
Cabo Verde vs Saudi Arabia,Houston,2026-06-27,Group Stage,Cabo Verde,Saudi Arabia,15.0,15.0,30.0,0
Uruguay vs Spain,Guadalajara,2026-06-27,Group Stage,Uruguay,Spain,15.0,15.0,30.0,0
New Zealand vs Belgium,Vancouver,2026-06-27,Group Stage,New Zealand,Belgium,15.0,15.0,30.0,0
Panama vs England,New York/New Jersey,2026-06-27,Group Stage,Panama,England,15.0,15.0,30.0,0
Croatia vs Ghana,Philadelphia,2026-06-27,Group Stage,Croatia,Ghana,15.0,15.0,30.0,0
Colombia vs Portugal,Miami,2026-06-27,Group Stage,Colombia,Portugal,15.0,15.0,30.0,0
Algeria vs Austria,Kansas City,2026-06-28,Group Stage,Algeria,Austria,15.0,15.0,30.0,0
