match,demand,price,teams_known,demand_rank,price_rank,mismatch,signal
Canada vs Switzerland,76.6,808,2,0.7916666666666666,0.2916666666666667,0.5,Underpriced
Ecuador vs Curacao,29.8,430,1,0.4166666666666667,0.08333333333333333,0.333,Underpriced
France vs Iraq,68.6,956,1,0.75,0.4583333333333333,0.292,Underpriced
Japan vs Tunisia,64.0,910,1,0.6666666666666666,0.4166666666666667,0.25,Underpriced
Brazil vs Haiti,108.0,1457,1,0.8958333333333334,0.75,0.146,Efficient
USA vs Australia,293.4,1952,2,1.0,0.875,0.125,Efficient
Qatar vs Bosnia & Herzegovina,16.0,354,0,0.10416666666666667,0.041666666666666664,0.062,Efficient
Colombia vs DR Congo,58.6,1028,1,0.5416666666666666,0.5416666666666666,0.0,Efficient
Jordan vs Algeria,16.0,441,0,0.10416666666666667,0.125,-0.021,Efficient
Mexico vs South Korea,270.1,2829,2,0.9583333333333334,1.0,-0.042,Efficient
Norway vs Senegal,23.8,873,1,0.2916666666666667,0.3333333333333333,-0.042,Efficient
Uruguay vs Cape Verde,19.6,691,1,0.20833333333333334,0.25,-0.042,Efficient
New Zealand vs Egypt,16.0,452,0,0.10416666666666667,0.16666666666666666,-0.062,Efficient
Brazil vs Scotland,108.0,2636,1,0.8958333333333334,0.9583333333333334,-0.062,Efficient
Argentina vs Austria,76.7,2509,1,0.8333333333333334,0.9166666666666666,-0.083,Efficient
Germany vs Ivory Coast,65.4,1520,1,0.7083333333333334,0.7916666666666666,-0.083,Efficient
Paraguay vs Turkey,16.0,670,0,0.10416666666666667,0.20833333333333334,-0.104,Efficient
Spain vs Saudi Arabia,58.4,1176,1,0.5,0.625,-0.125,Efficient
England vs Ghana,62.7,1403,1,0.5833333333333334,0.7083333333333334,-0.125,Efficient
Croatia vs Panama,22.0,895,1,0.25,0.375,-0.125,Efficient
Belgium vs Iran,25.3,978,1,0.3333333333333333,0.5,-0.167,Efficient
Portugal vs Uzbekistan,63.6,1555,1,0.625,0.8333333333333334,-0.208,Overpriced
Netherlands vs Sweden,33.4,1380,1,0.4583333333333333,0.6666666666666666,-0.208,Overpriced
Scotland vs Morocco,27.4,1153,1,0.375,0.5833333333333334,-0.208,Overpriced
