city,commercial,fandom,logistics,watch,demand_score,demand_score_norm,wow_change_pct
Atlanta,47.5,37.14,52.5,29.0,39.85,21.54,
Boston,52.5,44.43,65.5,36.5,47.69,60.77,
Dallas,58.0,40.43,60.5,30.5,44.69,45.77,
Houston,53.0,40.0,55.5,30.0,42.85,36.54,
Kansas City,47.5,32.57,48.5,26.0,36.31,3.85,
Los Angeles,57.5,52.43,80.5,39.5,55.54,100.0,
Miami,47.0,49.14,65.0,26.5,47.77,61.15,
New York,60.0,47.43,63.0,31.5,49.31,68.85,
Philadelphia,36.5,34.57,47.0,26.5,35.54,0.0,
San Francisco,63.0,41.29,72.5,43.0,49.69,70.77,
Seattle,55.0,34.43,57.5,37.0,41.54,30.0,
