city,demand_score,demand_score_norm,wow_change_pct
Atlanta,11.088888888888889,22.084751005258262,0.0
Boston,10.346666666666666,11.75378905041755,0.0
Dallas,11.064444444444444,21.744509743272488,7.5
Houston,16.686666666666667,100.0,0.0
Kansas City,10.9,19.455613980822765,0.0
Los Angeles,10.94,20.01237240952674,-17.9
Miami,13.724444444444448,58.76894525208788,0.0
New York,9.502222222222223,0.0,-17.0
Philadelphia,10.902222222222223,19.486545004639655,0.0
San Francisco,10.94,20.01237240952674,-17.9
Seattle,12.171111111111113,37.14815960408291,0.0
