query,video_id,text,likes,pos,neg,neu,compound,sentiment,teams,cities
FIFA World Cup 2026,pRpeEdMmmQ0,Who came here after seeing Shakira announcement of 2026 world cup song with Burna Boy dropping on may 14,5853,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,SHAKIRA PLS COME BACK FOR THE WORLD CUP 😭,6056,0.144,0.219,0.637,-0.2656,Negative,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Listening to this masterpiece after FIFA World Cup 2026 song. 💀,23885,0.328,0.0,0.672,0.7073,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"After 11 years
I was a child still I remember those days
When it was the African World Cup
But this song never gonna die",2406,0.15,0.0,0.85,0.6392,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,The most memorable world cup times that will not be repeated in a lifetime. Thanks to Shakira and team 🙏,543,0.127,0.0,0.873,0.4404,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"2010 - 2020
Esta música sempre me toca, não importa quanto tempo passe.",7646,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Who is watching this today???,2,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"This song is really the best, it has been 10 years but it still doesn’t get old. And it is really close to 3 billion views.",711,0.099,0.0,0.901,0.4096,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,15 years later if you're watching this means you're a legend,514,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Yay Shakira you did it your first one billion views video,144,0.254,0.0,0.746,0.5267,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,It's been 12 years after this song and it still gives goosebumps when i listen.....what a evergreen song it will be the best world cup forever ❤️,945,0.135,0.0,0.865,0.6369,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"The wait for 2018 World Cup is almost over

Still can't believe it was 8 years ago",2250,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Anyone May 16?,40,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,No one can beat this song still love this song no matter how old is this #WAKAWAKA😻😘,1667,0.292,0.096,0.613,0.8283,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,La mejor canción para una copa del mundo 2010 de los mejores años aveces quisiera volver al pasado verme y recordar esos momentos el tiempo y los años pasan muy rápidos,222,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"Te gustaría ver a shakira en el mundial qatar 2022 ? 
Espero sus respuestas y ojalá este comentario se haga viral ♥️ .",136,0.154,0.0,0.846,0.6369,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"You're a good soldier
Choosing your battles
Pick yourself up and dust yourself off
And back in the saddle
You're on the front line
Everyone's watching
You know it's serious, we are getting closer
This isn't over
The pressure's on, you feel it
But you got it all, believe it
When you fall, get up, oh oh
And if you fall, get up, eh eh
Tsamina mina zangalewa
'Cause this is Africa
Tsamina mina, eh eh
Waka waka, eh eh
Tsamina mina zangalewa
This time for Africa
Listen to your God, this is our motto
Yo",218,0.022,0.01,0.968,0.5955,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"Back here after 10 years!Who is here too,is a true legend.

edit: tysm for that a lot of likes!!",348,0.276,0.0,0.724,0.7562,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"Essa música, ainda é, a melhor de todas as copas!!!!!🇧🇷❤🇧🇷",656,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"Guys, I have some good news: Shakira has written a song for the 2026 World Cup!",10,0.175,0.0,0.825,0.4926,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Someone watching this on 12th may 2026,2745,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"SHAKIRA SHOULD BE THE OFFICIAL VOICE OF ALL THE WORLD CUPS 🏆⚽🔥🎤
go in sooo hard on this right here, She isnt like all these other artists who just be using that *IGROCKET dawwwt cawwww* to get their followerz up like bhad baby did to go big",586,0.045,0.107,0.848,-0.3421,Negative,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,No I didn't come here because of blackpink's rose..... Came here cause this is the best world cup song. Period.,844,0.172,0.09,0.738,0.4588,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"2019, still in love with this",373,0.457,0.0,0.543,0.6369,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"""We didn't realize we were making memories, we just knew we were having fun.""
-Winnie The Pooh",12278,0.171,0.0,0.829,0.5106,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"""APRIL 2026 let's see how many legends are listening to this masterpiece, still one of the most popular songs ever even after 15 year's!""",712,0.273,0.0,0.727,0.8504,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,This Time For Africa.... Who All Like The Song Like Here,160,0.357,0.0,0.643,0.6124,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,This song brings memories back .... time flies,1926,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"If you're watching this in 2022,I love you and you're not alone.",3829,0.373,0.0,0.627,0.7131,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"10 years old me at that time:
Listening this song Louder 
Dribbling Football around the Ground
No Stress
No Social Media
Those were the days ❤⚽",1540,0.245,0.0,0.755,0.8136,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"Давно это было, но какой Красивый Клип!!! Хочется танцевать, но... нас сейчас в крови купают... может, когда-то вернемся... к Нормальной Человеческой Жизни... Всем счастья и отсутствия войны... Ну а Шакира... ну, она - Звезда!!!",261,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,This song and waving flag are the best wc songs like if you agree,177,0.455,0.0,0.545,0.8481,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,12 años después y sigue siendo la preferida del mundo entero en los mundiales.,204,0.0,0.0,1.0,0.0,Neutral,[],['Los Angeles']
FIFA World Cup 2026,pRpeEdMmmQ0,There was just so much color in 2010 to 2018,2,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Nn sou Áfricana mas amo essa música ❤🇧🇷🇧🇷🇧🇷,536,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"Quem está escutando essa música, em pleno 2020 em dezembro?",254,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Shakira é perfeita! Deveria ser a cantora oficial das copas ❤,214,0.29,0.0,0.71,0.6696,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,"No matter how many FIFA World Cups we witness or how many official songs are released, this will always remain the greatest, most iconic, and unforgettable FIFA anthem of all time.
Waka Waka",5,0.116,0.03,0.855,0.6281,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,why so many dislikes? she's amazing! and this song is also amazing. I love Shakira :),283,0.519,0.102,0.378,0.9203,Positive,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,*Éramos felizes e não sabíamos...* fico triste pela atual situação do mundo ;(,197,0.0,0.0,1.0,0.0,Neutral,[],[]
FIFA World Cup 2026,pRpeEdMmmQ0,Anyone Still Listening This Song in  16/6/ 2018??&Any Song Cannot Defeat That Song😍😍😍,174,0.361,0.0,0.639,0.8966,Positive,[],[]
