title,venue,city,date,stage,category,lowest_price,avg_price,median_price,listings,source
Mexico vs South Africa,Estadio Azteca,Mexico City,2026-06-11,Group Stage,Category 3,605,605,605,440,FIFA Official
Mexico vs South Africa,Estadio Azteca,Mexico City,2026-06-11,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Mexico vs South Africa,Estadio Azteca,Mexico City,2026-06-11,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Mexico vs South Africa,Estadio Azteca,Mexico City,2026-06-11,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
South Korea vs Winner UEFA Playoff D,Estadio Akron,Guadalajara,2026-06-12,Group Stage,Category 3,605,605,605,440,FIFA Official
South Korea vs Winner UEFA Playoff D,Estadio Akron,Guadalajara,2026-06-12,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
South Korea vs Winner UEFA Playoff D,Estadio Akron,Guadalajara,2026-06-12,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
South Korea vs Winner UEFA Playoff D,Estadio Akron,Guadalajara,2026-06-12,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Canada vs Winner UEFA Playoff A,BMO Field,Toronto,2026-06-12,Group Stage,Category 3,605,605,605,440,FIFA Official
Canada vs Winner UEFA Playoff A,BMO Field,Toronto,2026-06-12,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Canada vs Winner UEFA Playoff A,BMO Field,Toronto,2026-06-12,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Canada vs Winner UEFA Playoff A,BMO Field,Toronto,2026-06-12,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
USA vs Paraguay,SoFi Stadium,Los Angeles,2026-06-13,Group Stage,Category 3,605,605,605,440,FIFA Official
USA vs Paraguay,SoFi Stadium,Los Angeles,2026-06-13,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
USA vs Paraguay,SoFi Stadium,Los Angeles,2026-06-13,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
USA vs Paraguay,SoFi Stadium,Los Angeles,2026-06-13,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
Qatar vs Switzerland,Levi's Stadium,San Francisco Bay Area,2026-06-13,Group Stage,Category 3,605,605,605,440,FIFA Official
Qatar vs Switzerland,Levi's Stadium,San Francisco Bay Area,2026-06-13,Group Stage,Category 2,1120,1120,1120,440,FIFA Official
Qatar vs Switzerland,Levi's Stadium,San Francisco Bay Area,2026-06-13,Group Stage,Category 1,1940,1940,1940,440,FIFA Official
Qatar vs Switzerland,Levi's Stadium,San Francisco Bay Area,2026-06-13,Group Stage,Front Category,2735,2735,2735,440,FIFA Official
